,Unnamed: 0,Column1,item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,disambPosition_0idx,sentence_ambiguous,sentence_gp,sentence_post,sentence_ambiguous_len,sentence_gp_len,sentence_post_len
0,0,0,1,NPS_UAMB,6,7,ambiguous,5,The suspect showed the file,The suspect hid the file,The suspect said the file,5,5,5
1,1,1,1,NPZ_UAMB,7,7,ambiguous,6,Because the suspect changed the file,Because the suspect altered the file,Because the suspect lied the file,6,6,6
2,2,2,1,MVRR_UAMB,6,8,ambiguous,5,The suspect sent the file,The suspect destroyed the file,The suspect shown the file,5,5,5
3,3,3,2,NPS_UAMB,7,8,ambiguous,6,The politician mentioned the bill,The politician signed the bill,The politician said the bill,5,5,5
4,4,4,2,NPZ_UAMB,8,8,ambiguous,7,After the politician signed the bill,After the politician rejected the bill,After the politician arrived the bill,6,6,6
5,5,5,2,MVRR_UAMB,7,9,ambiguous,6,The politician handed the bill,The politician rejected the bill,The politician given the bill,5,5,5
6,6,6,3,NPS_UAMB,6,7,ambiguous,5,The woman maintained the mail,The woman received the mail,The woman said the mail,5,5,5
7,7,7,3,NPZ_UAMB,7,7,ambiguous,6,After the woman moved the mail,After the woman shredded the mail,After the woman departed the mail,6,6,6
8,8,8,3,MVRR_UAMB,6,8,ambiguous,5,The woman brought the mail,The woman moved the mail,The woman shown the mail,5,5,5
9,9,9,4,NPS_UAMB,6,7,ambiguous,5,The boy found the chicken,The boy rescued the chicken,The boy thought the chicken,5,5,5
10,10,10,4,NPZ_UAMB,7,7,ambiguous,6,Although the boy attacked the chicken,Although the boy grabbed the chicken,Although the boy died the chicken,6,6,6
11,11,11,4,MVRR_UAMB,6,8,ambiguous,5,The boy fed the chicken,The boy ate the chicken,The boy given the chicken,5,5,5
12,12,12,5,NPS_UAMB,7,8,ambiguous,6,The doctor demonstrated the operation,The doctor tried the operation,The doctor thought the operation,5,5,5
13,13,13,5,NPZ_UAMB,8,8,ambiguous,7,After the doctor left the operation,After the doctor abandoned the operation,After the doctor departed the operation,6,6,6
14,14,14,5,MVRR_UAMB,7,9,ambiguous,6,The doctor offered the operation,The doctor gave the operation,The doctor given the operation,5,5,5
15,15,15,6,NPS_UAMB,6,7,ambiguous,5,The professor noticed the grant,The professor won the grant,The professor said the grant,5,5,5
16,16,16,6,NPZ_UAMB,7,7,ambiguous,6,After the professor read the grant,After the professor won the grant,After the professor came the grant,6,6,6
17,17,17,6,MVRR_UAMB,6,8,ambiguous,5,The professor awarded the grant,The professor gave the grant,The professor given the grant,5,5,5
18,18,18,7,NPS_UAMB,6,7,ambiguous,5,The technician reported the service,The technician reset the service,The technician complained the service,5,5,5
19,19,19,7,NPZ_UAMB,7,7,ambiguous,6,After the technician called the service,After the technician contacted the service,After the technician came the service,6,6,6
20,20,20,7,MVRR_UAMB,6,8,ambiguous,5,The technician refused the service,The technician terminated the service,The technician given the service,5,5,5
21,21,21,8,NPS_UAMB,6,7,ambiguous,5,The mechanic observed the truck,The mechanic watched the truck,The mechanic thought the truck,5,5,5
22,22,22,8,NPZ_UAMB,7,7,ambiguous,6,Because the mechanic stopped the truck,Because the mechanic broke the truck,Because the mechanic waited the truck,6,6,6
23,23,23,8,MVRR_UAMB,6,8,ambiguous,5,The mechanic brought the truck,The mechanic drove the truck,The mechanic shown the truck,5,5,5
24,24,24,9,NPS_UAMB,6,7,ambiguous,5,The guitarist knew the song,The guitarist wrote the song,The guitarist said the song,5,5,5
25,25,25,9,NPZ_UAMB,7,7,ambiguous,6,After the guitarist began the song,After the guitarist ruined the song,After the guitarist arrived the song,6,6,6
26,26,26,9,MVRR_UAMB,6,8,ambiguous,5,The guitarist assigned the song,The guitarist gave the song,The guitarist sung the song,5,5,5
27,27,27,10,NPS_UAMB,6,7,ambiguous,5,The player revealed the bonus,The player said the bonus,The player complained the bonus,5,5,5
28,28,28,10,NPZ_UAMB,7,7,ambiguous,6,Although the player lost the bonus,Although the player rejected the bonus,Although the player disappeared the bonus,6,6,6
29,29,29,10,MVRR_UAMB,6,8,ambiguous,5,The player paid the bonus,The player spent the bonus,The player given the bonus,5,5,5
30,30,30,11,NPS_UAMB,7,8,ambiguous,6,The employee claimed the job,The employee did the job,The employee said the job,5,5,5
31,31,31,11,NPZ_UAMB,8,8,ambiguous,7,Once the employee started the job,Once the employee got the job,Once the employee arrived the job,6,6,6
32,32,32,11,MVRR_UAMB,7,9,ambiguous,6,The employee offered the job,The employee loved the job,The employee given the job,5,5,5
33,33,33,12,NPS_UAMB,7,8,ambiguous,6,The manager discovered the training,The manager hated the training,The manager thought the training,5,5,5
34,34,34,12,NPZ_UAMB,8,8,ambiguous,7,While the manager worked the training,While the manager did the training,While the manager remained the training,6,6,6
35,35,35,12,MVRR_UAMB,7,9,ambiguous,6,The manager assigned the training,The manager gave the training,The manager shown the training,5,5,5
