condition,ambiguous,Sentence,Comp_Question_No,Comp_Question_Yes
NPS_UAMB,True,The suspect showed the file deserved further investigation during the murder trial.,Did the suspect show the file?,Did the file deserve further investigation during the murder trial?
NPZ_UAMB,True,Because the suspect changed the file deserved further investigation during the jury discussions.,Did the suspect change the file?,Did the file deserve further investigation during the jury discussions?
MVRR_UAMB,True,The suspect sent the file deserved further investigation given the new evidence.,Did the suspect send the file?,Did the suspect deserve further investigation given the new evidence?
NPS_UAMB,True,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,Did the corrupt politician mention the bill?,Did the bill receive unwelcome attention from southern voters?
NPZ_UAMB,True,After the corrupt politician signed the bill received unwelcome attention from southern voters.,Did the corrupt politician sign the bill?,Did the bill receive unwelcome attention from southern voters?
MVRR_UAMB,True,The corrupt politician handed the bill received unwelcome attention from southern voters.,Did the corrupt politician hand the bill?,Did the corrupt politician receive unwelcome attention from southern voters?
NPS_UAMB,True,The woman maintained the mail disappeared mysteriously from her front porch.,Did the woman maintain the mail?,Did the mail disappear mysteriously from her front porch?
NPZ_UAMB,True,After the woman moved the mail disappeared mysteriously from the delivery system.,Did the woman move the mail?,Did the mail disappear mysteriously from the delivery system?
MVRR_UAMB,True,The woman brought the mail disappeared mysteriously after reading the bad news in it.,Did the woman bring the mail?,Did the woman disappear mysteriously after reading the bad news in it?
NPS_UAMB,True,The boy found the chicken stayed surprisingly happy in the new barn.,Did the boy find the chicken?,Did the chicken stay surprisingly happy in the new barn?
NPZ_UAMB,True,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,Did the boy attack the chicken?,Did the chicken stay surprisingly happy as if nothing happened?
MVRR_UAMB,True,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,Did the boy feed the chicken?,Did the boy stay surprisingly happy despite having a mild allergic reaction?
NPS_UAMB,True,The new doctor demonstrated the operation appeared increasingly likely to succeed.,Did the new doctor demonstrate the operation?,Did the operation appear increasingly likely to succeed?
NPZ_UAMB,True,After the new doctor left the operation appeared increasingly likely to succeed.,Did the new doctor leave the operation?,Did the operation appear increasingly likely to succeed?
MVRR_UAMB,True,The new doctor offered the operation appeared increasingly likely to succeed in her career.,Did the new doctor offer the operation?,Did the new doctor appear increasingly likely to succeed in her career?
NPS_UAMB,True,The professor noticed the grant gained more attention from marine biologists.,Did the professor notice the grant?,Did the grant gain more attention from marine biologists?
NPZ_UAMB,True,After the professor read the grant gained more attention due to her excellent description.,Did the professor read the grant?,Did the grant gain more attention due to her excellent description?
MVRR_UAMB,True,The professor awarded the grant gained more attention from marine biologists.,Did the professor award the grant?,Did the professor gain more attention from marine biologists?
NPS_UAMB,True,The technician reported the service stopped working almost immediately after the storm started.,Did the technician report the service?,Did the service stop working almost immediately after the storm started?
