condition,ambiguous,Sentence,Sentence_GP,Sentence_Post,Comp_Question_No,Comp_Question_Yes
NPS,True,The suspect showed the file was bad.,The suspect showed the file that was bad.,The suspect showed the file actually was bad.,Did the suspect show the file?,Was the file bad?
NPZ,True,Because the suspect changed the file was gone.,"Because the suspect changed the file, it was gone.",Because the suspect changed the file turned out quite gone.,Did the suspect change the file?,Was the file gone?
MVRR,True,The suspect sent the file was safe.,The suspect sent the file that was safe.,The suspect sent the file recently was safe.,Did the suspect send the file?,Was the suspect safe?
NPS,True,The politician mentioned the bill was good.,The politician mentioned the bill that was good.,The politician mentioned the bill actually was good.,Did the politician mention the bill?,Was the bill good?
NPZ,True,After the politician signed the bill was interesting.,"After the politician signed the bill, it was interesting.",After the politician signed the bill turned out quite interesting.,Did the politician sign the bill?,Was the bill interesting?
MVRR,True,The politician handed the bill was gone.,The politician handed the bill that was gone.,The politician handed the bill recently was gone.,Did the politician hand the bill?,Was the politician gone?
NPS,True,The woman maintained the mail was interesting.,The woman maintained the mail that was interesting.,The woman maintained the mail actually was interesting.,Did the woman maintain the mail?,Was the mail interesting?
NPZ,True,After the woman moved the mail was bad.,"After the woman moved the mail, it was bad.",After the woman moved the mail turned out quite bad.,Did the woman move the mail?,Was the mail bad?
MVRR,True,The woman brought the mail was bad.,The woman brought the mail that was bad.,The woman brought the mail recently was bad.,Did the woman bring the mail?,Was the woman bad?
NPS,True,The boy found the chicken was interesting.,The boy found the chicken that was interesting.,The boy found the chicken actually was interesting.,Did the boy find the chicken?,Was the chicken interesting?
NPZ,True,Although the boy attacked the chicken was gone.,"Although the boy attacked the chicken, it was gone.",Although the boy attacked the chicken turned out quite gone.,Did the boy attack the chicken?,Was the chicken gone?
MVRR,True,The boy fed the chicken was good.,The boy fed the chicken that was good.,The boy fed the chicken recently was good.,Did the boy feed the chicken?,Was the boy good?
NPS,True,The doctor demonstrated the operation was safe.,The doctor demonstrated the operation that was safe.,The doctor demonstrated the operation actually was safe.,Did the doctor demonstrate the operation?,Was the operation safe?
NPZ,True,After the doctor left the operation was bad.,"After the doctor left the operation, it was bad.",After the doctor left the operation turned out quite bad.,Did the doctor leave the operation?,Was the operation bad?
MVRR,True,The doctor offered the operation was fine.,The doctor offered the operation that was fine.,The doctor offered the operation recently was fine.,Did the doctor offer the operation?,Was the doctor fine?
NPS,True,The professor noticed the grant was good.,The professor noticed the grant that was good.,The professor noticed the grant actually was good.,Did the professor notice the grant?,Was the grant good?
NPZ,True,After the professor read the grant was good.,"After the professor read the grant, it was good.",After the professor read the grant turned out quite good.,Did the professor read the grant?,Was the grant good?
