item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,Sentence,disambPosition_0idx,Sentence_GP,Sentence_Correct
1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,The suspect hid the file,The suspect said the file deserved further investigation during the murder trial.
1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,Because the suspect altered the file,Because the suspect lied the file deserved further investigation during the jury discussions.
1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,The suspect destroyed the file,The suspect shown the file deserved further investigation given the new evidence.
2,NPS_UAMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,The corrupt politician signed the bill,The corrupt politician said the bill received unwelcome attention from southern voters.
2,NPZ_UAMB,8,8,ambiguous,After the corrupt politician signed the bill received unwelcome attention from southern voters.,7,After the corrupt politician rejected the bill,After the corrupt politician arrived the bill received unwelcome attention from southern voters.
2,MVRR_UAMB,7,9,ambiguous,The corrupt politician handed the bill received unwelcome attention from southern voters.,6,The corrupt politician vetoed the bill,The corrupt politician given the bill received unwelcome attention from southern voters.
3,NPS_UAMB,6,7,ambiguous,The woman maintained the mail disappeared mysteriously from her front porch.,5,The woman received the mail,The woman said the mail disappeared mysteriously from her front porch.
3,NPZ_UAMB,7,7,ambiguous,After the woman moved the mail disappeared mysteriously from the delivery system.,6,After the woman shredded the mail,After the woman departed the mail disappeared mysteriously from the delivery system.
3,MVRR_UAMB,6,8,ambiguous,The woman brought the mail disappeared mysteriously after reading the bad news in it.,5,The woman moved the mail,The woman shown the mail disappeared mysteriously after reading the bad news in it.
4,NPS_UAMB,6,7,ambiguous,The boy found the chicken stayed surprisingly happy in the new barn.,5,The boy rescued the chicken,The boy thought the chicken stayed surprisingly happy in the new barn.
4,NPZ_UAMB,7,7,ambiguous,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,6,Although the boy grabbed the chicken,Although the boy died the chicken stayed surprisingly happy as if nothing happened.
4,MVRR_UAMB,6,8,ambiguous,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,5,The boy ate the chicken,The boy given the chicken stayed surprisingly happy despite having a mild allergic reaction.
5,NPS_UAMB,7,8,ambiguous,The new doctor demonstrated the operation appeared increasingly likely to succeed.,6,The new doctor tried the operation,The new doctor thought the operation appeared increasingly likely to succeed.
5,NPZ_UAMB,8,8,ambiguous,After the new doctor left the operation appeared increasingly likely to succeed.,7,After the new doctor abandoned the operation,After the new doctor departed the operation appeared increasingly likely to succeed.
5,MVRR_UAMB,7,9,ambiguous,The new doctor offered the operation appeared increasingly likely to succeed in her career.,6,The new doctor gave the operation,The new doctor given the operation appeared increasingly likely to succeed in her career.
6,NPS_UAMB,6,7,ambiguous,The professor noticed the grant gained more attention from marine biologists.,5,The professor won the grant,The professor said the grant gained more attention from marine biologists.
6,NPZ_UAMB,7,7,ambiguous,After the professor read the grant gained more attention due to her excellent description.,6,After the professor won the grant,After the professor came the grant gained more attention due to her excellent description.
6,MVRR_UAMB,6,8,ambiguous,The professor awarded the grant gained more attention from marine biologists.,5,The professor gave the grant,The professor given the grant gained more attention from marine biologists.
7,NPS_UAMB,6,7,ambiguous,The technician reported the service stopped working almost immediately after the storm started.,5,The technician restarted the service,The technician complained the service stopped working almost immediately after the storm started.
7,NPZ_UAMB,7,7,ambiguous,After the technician called the service stopped working almost immediately to his surprise.,6,After the technician contacted the service,After the technician came the service stopped working almost immediately to his surprise.
7,MVRR_UAMB,6,8,ambiguous,The technician refused the service stopped working almost immediately after the argument.,5,The technician scorned the service,The technician given the service stopped working almost immediately after the argument.
8,NPS_UAMB,6,7,ambiguous,The mechanic observed the truck needed several more hours to be repaired.,5,The mechanic watched the truck,The mechanic thought the truck needed several more hours to be repaired.
8,NPZ_UAMB,7,7,ambiguous,Because the mechanic stopped the truck needed several more hours before it could be fully repaired.,6,Because the mechanic broke the truck,Because the mechanic waited the truck needed several more hours before it could be fully repaired.
8,MVRR_UAMB,6,8,ambiguous,The mechanic brought the truck needed several more hours to fully repair it.,5,The mechanic drove the truck,The mechanic shown the truck needed several more hours to fully repair it.
9,NPS_UAMB,6,7,ambiguous,The guitarist knew the song failed dramatically because of the tensions within the band.,5,The guitarist wrote the song,The guitarist said the song failed dramatically because of the tensions within the band.
9,NPZ_UAMB,7,7,ambiguous,After the guitarist began the song failed dramatically because he skipped the sound check.,6,After the guitarist ruined the song,After the guitarist arrived the song failed dramatically because he skipped the sound check.
9,MVRR_UAMB,6,8,ambiguous,The guitarist assigned the song failed dramatically because he never practiced enough.,5,The guitarist gave the song,The guitarist sung the song failed dramatically because he never practiced enough.
10,NPS_UAMB,6,7,ambiguous,The player revealed the bonus remained essentially the same as in the original contract.,5,The player exposed the bonus,The player complained the bonus remained essentially the same as in the original contract.
10,NPZ_UAMB,7,7,ambiguous,Although the player lost the bonus remained essentially the same as in the original contract.,6,Although the player renounced the bonus,Although the player pouted the bonus remained essentially the same as in the original contract.
10,MVRR_UAMB,6,8,ambiguous,The player paid the bonus remained essentially the same despite his sudden fame and wealth.,5,The player spent the bonus,The player given the bonus remained essentially the same despite his sudden fame and wealth.
11,NPS_UAMB,7,8,ambiguous,The recent hire claimed the job prepared many students for careers in media.,6,The recent hire did the job,The recent hire said the job prepared many students for careers in media.
11,NPZ_UAMB,8,8,ambiguous,Once the recent hire started the job prepared many students for careers in media.,7,Once the recent hire got the job,Once the recent hire arrived the job prepared many students for careers in media.
11,MVRR_UAMB,7,9,ambiguous,The recent hire offered the job prepared many students for careers in media.,6,The recent hire loved the job,The recent hire given the job prepared many students for careers in media.
12,NPS_UAMB,7,8,ambiguous,The assistant manager discovered the training seemed unnecessarily demanding for new staff.,6,The assistant manager hated the training,The assistant manager thought the training seemed unnecessarily demanding for new staff.
12,NPZ_UAMB,8,8,ambiguous,While the assistant manager worked the training seemed unnecessarily demanding to him.,7,While the assistant manager did the training,While the assistant manager remained the training seemed unnecessarily demanding to him.
12,MVRR_UAMB,7,9,ambiguous,The assistant manager assigned the training seemed unnecessarily demanding to new staff.,6,The assistant manager gave teh training,The assistant manager shown the training seemed unnecessarily demanding to new staff.
13,NPS_UAMB,6,7,ambiguous,The mayor showed the document provided sufficient evidence to prove her innocence.,5,The mayor displayed the document,The mayor said the document provided sufficient evidence to prove her innocence.
13,NPZ_UAMB,7,7,ambiguous,Although the mayor changed the document provided sufficient evidence for what he had promised.,6,Although the mayor forged the document,Although the mayor vanished the document provided sufficient evidence for what he had promised.
13,MVRR_UAMB,6,8,ambiguous,The mayor sent the document provided sufficient evidence that it was simply blackmail.,5,The mayor discarded the document,The mayor given the document provided sufficient evidence that it was simply blackmail.
14,NPS_UAMB,7,8,ambiguous,The basketball player mentioned the contract created another controversy in the NBA.,6,The basketball player signed the contract,The basketball player said the contract created another controversy in the NBA.
14,NPZ_UAMB,8,8,ambiguous,After the basketball player signed the contract created another controversy in the NBA.,7,After the basketball player rejected the contract,After the basketball player died the contract created another controversy in the NBA.
14,MVRR_UAMB,7,9,ambiguous,The basketball player handed the contract created another controversy in the NBA.,6,The basketball player signed the contract,The basketball player shown the contract created another controversy in the NBA.
15,NPS_UAMB,6,7,ambiguous,The engineer maintained the equipment required constant supervision from senior technicians.,5,The engineer monitored the equipment,The engineer said the equipment required constant supervision from senior technicians.
15,NPZ_UAMB,7,7,ambiguous,After the engineer moved the equipment required constant supervision from senior technicians.,6,After the engineer broke the equipment,After the engineer died the equipment required constant supervision from senior technicians.
15,MVRR_UAMB,6,8,ambiguous,The engineer brought the equipment required constant supervision from senior technicians.,5,The engineer transported the equipment,The engineer given the equipment required constant supervision from senior technicians.
16,NPS_UAMB,7,8,ambiguous,The little girl found the lamb remained relatively calm despite the absence of its mother.,6,The little girl adopted the lamb,The little girl thought the lamb remained relatively calm despite the absence of its mother.
16,NPZ_UAMB,8,8,ambiguous,When the little girl attacked the lamb remained relatively calm despite the sudden assault.,7,When the little girl grabbed the lamb,When the little girl pounced the lamb remained relatively calm despite the sudden assault.
16,MVRR_UAMB,7,9,ambiguous,The little girl fed the lamb remained relatively calm despite having asked for beef.,6,The little girl nursed the lamb,The little girl given the lamb remained relatively calm despite having asked for beef.
17,NPS_UAMB,7,8,ambiguous,The yoga instructor demonstrated the position demanded immense physical effort from everyone.,6,The yoga instructor performed the position,The yoga instructor said the position demanded immense physical effort from everyone.
17,NPZ_UAMB,8,8,ambiguous,Before the yoga instructor left the position demanded immense physical effort from everyone.,7,Before the yoga instructor performed the position,Before the yoga instructor departed the position demanded immense physical effort from everyone.
